transaction_id,items
97,"Pen Set, Coffee Mug, Desk Organizer, Notebook, Phone Case, Desk Lamp"
98,"Screen Protector, Wireless Mouse, Laptop Stand"
99,"Notebook, Screen Protector, Phone Case, Power Bank"
100,"USB-C Cable, Notebook, Power Bank"
101,"Coffee Mug, Laptop Stand, Desk Organizer, Kitchen Scale, Notebook, Desk Lamp, Wireless Mouse"
102,"USB-C Cable, Bluetooth Speaker, Phone Case"
103,"Power Bank, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
104,"Kitchen Scale, Pen Set, Wireless Mouse, Laptop Stand"
105,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Water Bottle, Notebook, Desk Lamp"
106,"Power Bank, Water Bottle, Notebook, USB-C Cable, Bluetooth Speaker"
107,"Kitchen Scale, Sticky Notes, Laptop Stand"
108,"Power Bank, French Press, Pen Set, Coffee Mug, Screen Protector, Notebook, Phone Case, USB-C Cable"
109,"Desk Organizer, Bluetooth Speaker, Phone Case"
110,"Pen Set, Coffee Mug, Water Bottle, Screen Protector, Phone Case, Notebook"
111,"Laptop Stand, Screen Protector, Phone Case, Bluetooth Speaker, Wireless Mouse"
112,"Cutting Board, French Press, Pen Set, Coffee Mug, Notebook"
113,"Power Bank, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
114,"Power Bank, French Press, Pen Set, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
115,"Power Bank, Cutting Board, Pen Set, Screen Protector, Notebook, USB-C Cable, Wireless Mouse"
116,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Notebook, USB-C Cable, Bluetooth Speaker, Desk Lamp, Wireless Mouse"
117,"USB-C Cable, Sticky Notes, Wireless Mouse, Power Bank"
118,"Wireless Mouse, Laptop Stand"
119,"Power Bank, French Press, Coffee Mug, Laptop Stand, Kitchen Scale, USB-C Cable, Desk Lamp, Wireless Mouse"
120,"Power Bank, French Press, Coffee Mug, Desk Organizer, Sticky Notes"
121,"Water Bottle, French Press, Screen Protector, Phone Case"
122,"Pen Set, Desk Organizer, Water Bottle, Notebook, Phone Case, USB-C Cable, Desk Lamp"
123,"USB-C Cable, Kitchen Scale, Pen Set, Notebook"
124,"Pen Set, Water Bottle, Screen Protector, Phone Case, Notebook"
125,"French Press, Wireless Mouse"
126,"Laptop Stand, Desk Organizer, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
127,"Water Bottle, French Press, Coffee Mug"
128,"French Press, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
129,"Desk Organizer, Bluetooth Speaker"
130,"Power Bank, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
131,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
132,"Desk Organizer, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
133,"USB-C Cable, Bluetooth Speaker, Notebook, Power Bank"
134,"Desk Organizer, Wireless Mouse, Laptop Stand"
135,"Power Bank, Cutting Board, Coffee Mug, Screen Protector, Phone Case, USB-C Cable"
136,"Power Bank, Coffee Mug, Desk Organizer, Notebook, Phone Case, USB-C Cable, Desk Lamp"
137,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Wireless Mouse"
138,"Phone Case, Sticky Notes"
139,"Pen Set, Laptop Stand, Desk Organizer, Notebook, Sticky Notes, Desk Lamp, Wireless Mouse"
140,"Laptop Stand, Screen Protector, Phone Case, Notebook, Sticky Notes, Desk Lamp, Wireless Mouse"
141,"Cutting Board, Pen Set, Notebook"
142,"Desk Lamp, Screen Protector, Laptop Stand"
143,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Wireless Mouse"
144,"French Press, Coffee Mug, Screen Protector, Phone Case, Notebook, Kitchen Scale"
145,"Cutting Board, Pen Set, Laptop Stand, Screen Protector, Phone Case, Notebook, Wireless Mouse"
146,"Water Bottle, Desk Lamp"
147,"Screen Protector, Phone Case, Wireless Mouse, Laptop Stand"
148,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Wireless Mouse"
149,"Pen Set, Desk Organizer, Screen Protector, Notebook, Sticky Notes, USB-C Cable, Desk Lamp"
150,"French Press, Coffee Mug"
151,"Kitchen Scale, Sticky Notes, Wireless Mouse, Laptop Stand"
152,"Pen Set, Desk Organizer, Notebook, USB-C Cable, Desk Lamp"
153,"French Press, Screen Protector, Phone Case, Coffee Mug"
154,"Desk Organizer, Pen Set, Notebook, Wireless Mouse"
155,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
156,"Power Bank, Pen Set, Screen Protector, Phone Case, Sticky Notes, USB-C Cable, Wireless Mouse"
157,"Power Bank, French Press, Pen Set, Coffee Mug, Kitchen Scale, Notebook, USB-C Cable, Bluetooth Speaker"
158,"Power Bank, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
159,"Pen Set, Notebook, Laptop Stand"
160,"Power Bank, Water Bottle, Screen Protector, Phone Case, USB-C Cable"
161,"Cutting Board, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
162,"Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Kitchen Scale, Desk Lamp"
163,"French Press, Pen Set, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
164,"Power Bank, Water Bottle, Screen Protector, Phone Case, USB-C Cable"
165,"Pen Set, Water Bottle, Screen Protector, Phone Case, Desk Lamp"
166,"Power Bank, Cutting Board, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Bluetooth Speaker, Wireless Mouse"
167,"USB-C Cable, Sticky Notes, Wireless Mouse, Laptop Stand"
168,"Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Desk Lamp"
169,"Water Bottle, Sticky Notes, Wireless Mouse, Laptop Stand"
170,"Power Bank, French Press, Coffee Mug, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
171,"Kitchen Scale, Screen Protector, Phone Case, Power Bank"
172,"Cutting Board, French Press, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Sticky Notes, Desk Lamp"
173,"Pen Set, Water Bottle, Screen Protector, Phone Case, Notebook, Desk Lamp"
174,"Pen Set, Laptop Stand, Water Bottle, Screen Protector, Phone Case, Notebook, Sticky Notes, Wireless Mouse"
175,"USB-C Cable, Laptop Stand, Phone Case, Power Bank"
176,"Desk Organizer, Screen Protector, Phone Case"
177,"Coffee Mug, Water Bottle, Screen Protector, Phone Case, Desk Lamp"
178,"Desk Lamp, Screen Protector, Phone Case, Laptop Stand"
179,"USB-C Cable, Pen Set, Notebook, Wireless Mouse"
180,"Pen Set, Laptop Stand, Kitchen Scale, Notebook, Wireless Mouse"
181,"French Press, Coffee Mug, Screen Protector, Sticky Notes, USB-C Cable"
182,"Phone Case, Pen Set, Notebook, Screen Protector"
183,"French Press, Pen Set, Coffee Mug, Desk Organizer, Notebook, Bluetooth Speaker, Desk Lamp"
184,"Cutting Board, Power Bank, Wireless Mouse, Laptop Stand"
185,"Desk Lamp, Screen Protector, Phone Case, Sticky Notes"
186,"Power Bank, Pen Set, Kitchen Scale, Notebook, USB-C Cable, Wireless Mouse"
187,"USB-C Cable, Screen Protector, Phone Case, Power Bank"
188,"USB-C Cable, Bluetooth Speaker, Phone Case, Power Bank"
189,"Screen Protector, Phone Case, Notebook, USB-C Cable, Desk Lamp"
190,"Power Bank, Cutting Board, Laptop Stand, Phone Case, USB-C Cable, Wireless Mouse"
191,"Pen Set, Laptop Stand, Kitchen Scale, Notebook, Wireless Mouse"
192,"French Press, Pen Set, Wireless Mouse"
193,"Power Bank, Pen Set, Screen Protector, Phone Case, Notebook, Bluetooth Speaker, Wireless Mouse"
194,"USB-C Cable, Phone Case, Pen Set, Notebook"
195,"Cutting Board, Water Bottle"
196,"Power Bank, Cutting Board, Pen Set, Screen Protector, Phone Case, Notebook, USB-C Cable"
197,"Pen Set, Laptop Stand, Desk Organizer, Water Bottle, Notebook, Desk Lamp, Wireless Mouse"
198,"French Press, Pen Set, Screen Protector, Phone Case, Notebook"
199,"Coffee Mug, Laptop Stand, Screen Protector, Phone Case, USB-C Cable, Wireless Mouse"
200,"Phone Case, Pen Set, Notebook"
201,"Power Bank, Kitchen Scale, Wireless Mouse, Laptop Stand"
202,"Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Notebook, USB-C Cable, Wireless Mouse"
203,"USB-C Cable, Kitchen Scale, Wireless Mouse, Power Bank"
204,"Pen Set, Laptop Stand, Phone Case, Desk Lamp, Wireless Mouse"
205,"Power Bank, French Press, Pen Set, Coffee Mug, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
206,"Desk Organizer, Desk Lamp, Notebook"
207,"French Press, Coffee Mug, Wireless Mouse, Laptop Stand"
208,"Water Bottle, Coffee Mug"
209,"Power Bank, Laptop Stand, Kitchen Scale, USB-C Cable, Bluetooth Speaker, Wireless Mouse"
210,"USB-C Cable, Desk Organizer, Pen Set, Power Bank"
211,"Power Bank, French Press, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
212,"French Press, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Phone Case, Sticky Notes, USB-C Cable, Wireless Mouse"
213,"Laptop Stand, Screen Protector, Notebook, Phone Case, Wireless Mouse"
214,"Power Bank, French Press, Pen Set, Coffee Mug, Laptop Stand, Notebook, USB-C Cable, Wireless Mouse"
215,"Water Bottle, Notebook, Wireless Mouse, Laptop Stand"
216,"Water Bottle, Pen Set, Notebook"
217,"Pen Set, Laptop Stand, Kitchen Scale, Notebook, Wireless Mouse"
218,"Pen Set, Coffee Mug, Laptop Stand, Notebook, Wireless Mouse"
219,"Power Bank, French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Notebook, Sticky Notes, USB-C Cable, Wireless Mouse"
220,"Power Bank, Cutting Board, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
221,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Wireless Mouse"
222,"Kitchen Scale, Phone Case, Wireless Mouse, Laptop Stand"
223,"USB-C Cable, Desk Organizer"
224,"French Press, Pen Set, Coffee Mug, Laptop Stand, Water Bottle, Notebook"
225,"Power Bank, French Press, Coffee Mug, Screen Protector, Phone Case"
226,"Pen Set, Notebook, Wireless Mouse, Power Bank"
227,"Power Bank, French Press, Coffee Mug, Screen Protector, Phone Case, Notebook"
228,"Pen Set, Screen Protector, Phone Case, Sticky Notes, Bluetooth Speaker"
229,"Screen Protector, Phone Case, Coffee Mug"
230,"Power Bank, Cutting Board, Screen Protector, Phone Case, USB-C Cable"
231,"French Press, Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Sticky Notes, Wireless Mouse"
232,"French Press, Coffee Mug, Laptop Stand, USB-C Cable, Desk Lamp, Wireless Mouse"
233,"Power Bank, Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp"
234,"Pen Set, Wireless Mouse, Laptop Stand"
235,"French Press, Coffee Mug, Laptop Stand, Desk Lamp, Wireless Mouse"
236,"Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
237,"Pen Set, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Notebook, Sticky Notes, Wireless Mouse"
238,"USB-C Cable, Laptop Stand, Power Bank"
239,"Cutting Board, Bluetooth Speaker, Screen Protector, Phone Case"
240,"USB-C Cable, French Press, Coffee Mug, Laptop Stand"
241,"Power Bank, Desk Organizer, Notebook, USB-C Cable, Desk Lamp"
242,"Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
243,"Cutting Board, French Press, Pen Set, Coffee Mug, Desk Organizer, Notebook, Desk Lamp, Wireless Mouse"
244,"Phone Case, Pen Set, Notebook, Screen Protector"
245,"Cutting Board, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
246,"USB-C Cable, Screen Protector, Phone Case, Power Bank"
247,"Cutting Board, Pen Set, Desk Organizer, Notebook, Desk Lamp, Wireless Mouse"
248,"French Press, Coffee Mug, Laptop Stand, Screen Protector, Notebook, Desk Lamp, Wireless Mouse"
249,"Power Bank, Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
250,"Kitchen Scale, Phone Case, Wireless Mouse, Laptop Stand"
251,"French Press, Pen Set, Coffee Mug, Laptop Stand, Wireless Mouse"
252,"Power Bank, Laptop Stand, Screen Protector, Phone Case, Sticky Notes, USB-C Cable, Wireless Mouse"
253,"Power Bank, Pen Set, Desk Organizer, Notebook, Phone Case, USB-C Cable, Desk Lamp"
254,"Power Bank, Pen Set, Screen Protector, Phone Case, Notebook, USB-C Cable, Desk Lamp"
255,"Pen Set, Coffee Mug, Laptop Stand, Notebook, Bluetooth Speaker"
256,"Desk Organizer, Cutting Board, Pen Set, Notebook"
257,"Power Bank, French Press, Coffee Mug, Laptop Stand, Sticky Notes, USB-C Cable, Wireless Mouse"
258,"Desk Organizer, Kitchen Scale, Notebook, Bluetooth Speaker, Desk Lamp"
259,"Power Bank, French Press, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
260,"Cutting Board, Screen Protector, Phone Case, Bluetooth Speaker, Wireless Mouse"
261,"Cutting Board, French Press, Coffee Mug, Screen Protector, Phone Case"
262,"French Press, Coffee Mug, Desk Organizer, Notebook, Desk Lamp, Wireless Mouse"
263,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Bluetooth Speaker, Desk Lamp"
264,"Cutting Board, Pen Set, Desk Organizer, Notebook, Desk Lamp"
265,"Kitchen Scale, Phone Case, Laptop Stand"
266,"Power Bank, French Press, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, USB-C Cable, Desk Lamp, Wireless Mouse"
267,"Kitchen Scale, Phone Case, Wireless Mouse, Laptop Stand"
268,"Notebook, Wireless Mouse, Laptop Stand"
269,"Screen Protector, Laptop Stand"
270,"French Press, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook, Desk Lamp"
271,"Power Bank, Laptop Stand, Sticky Notes, USB-C Cable, Wireless Mouse"
272,"French Press, Coffee Mug, Screen Protector, Phone Case, Sticky Notes"
273,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Water Bottle, Notebook, Desk Lamp, Wireless Mouse"
274,"French Press, Coffee Mug, Desk Organizer, Phone Case, Bluetooth Speaker"
275,"Cutting Board, Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook"
276,"Power Bank, Laptop Stand, Screen Protector, Phone Case, USB-C Cable"
277,"Desk Organizer, Desk Lamp, Notebook"
278,"Cutting Board, Pen Set, Screen Protector, Phone Case, Notebook, USB-C Cable"
279,"Pen Set, Laptop Stand, Desk Organizer, Screen Protector, Phone Case, Notebook, Wireless Mouse"
280,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Water Bottle, Notebook, Desk Lamp, Wireless Mouse"
281,"Pen Set, Coffee Mug, Laptop Stand, Desk Organizer, Screen Protector, Phone Case, Notebook, Wireless Mouse"
282,"Power Bank, Pen Set, Notebook, USB-C Cable, Wireless Mouse"
283,"Laptop Stand, Desk Organizer, Screen Protector, Notebook, Phone Case, Bluetooth Speaker, Desk Lamp"
284,"Desk Lamp, Phone Case, Wireless Mouse, Laptop Stand"
285,"French Press, Sticky Notes, Coffee Mug, Power Bank"
286,"Power Bank, Coffee Mug, Laptop Stand, Phone Case, USB-C Cable, Wireless Mouse"
287,"Power Bank, Laptop Stand, Kitchen Scale, USB-C Cable, Wireless Mouse"
288,"Desk Organizer, Desk Lamp, Pen Set, Notebook"
289,"Power Bank, Cutting Board, Pen Set, Screen Protector, Phone Case, Notebook, USB-C Cable"
290,"Desk Organizer, Desk Lamp, Notebook, Wireless Mouse"
291,"Power Bank, French Press, Coffee Mug, Desk Organizer, Screen Protector, Phone Case, USB-C Cable, Desk Lamp"
292,"Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp"
293,"French Press, Coffee Mug, Laptop Stand, Desk Organizer, Kitchen Scale"
294,"French Press, Pen Set, Coffee Mug, Kitchen Scale, Notebook, Screen Protector, USB-C Cable"
295,"French Press, Pen Set, Laptop Stand, Water Bottle, Screen Protector, Notebook, Wireless Mouse"
296,"French Press, Laptop Stand, Screen Protector, Phone Case, Desk Lamp, Wireless Mouse"
297,"Pen Set, Laptop Stand, Water Bottle, Screen Protector, Phone Case, Notebook, Wireless Mouse"
298,"Laptop Stand, Desk Organizer, Notebook, USB-C Cable, Desk Lamp, Wireless Mouse"
299,"Power Bank, French Press, Coffee Mug, Desk Organizer, Screen Protector, Phone Case, USB-C Cable"
300,"Power Bank, Laptop Stand, USB-C Cable, Desk Lamp, Wireless Mouse"
301,"Power Bank, French Press, Coffee Mug, Desk Organizer, Kitchen Scale, Notebook, USB-C Cable, Desk Lamp"
302,"French Press, Pen Set, Coffee Mug, Laptop Stand, Water Bottle, Screen Protector, Notebook, Phone Case, Sticky Notes, Wireless Mouse"
303,"Phone Case, Pen Set, Notebook"
304,"French Press, Coffee Mug, Laptop Stand, Notebook, Wireless Mouse"
305,"French Press, Phone Case, Coffee Mug"
306,"USB-C Cable, Laptop Stand, Sticky Notes, Power Bank"
307,"Kitchen Scale, Screen Protector, Phone Case, Coffee Mug"
308,"Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
309,"Power Bank, Pen Set, Desk Organizer, Notebook, USB-C Cable, Bluetooth Speaker, Desk Lamp"
310,"French Press, Coffee Mug, Kitchen Scale, Screen Protector, Phone Case"
311,"French Press, Coffee Mug, Water Bottle, Screen Protector, Phone Case"
312,"Power Bank, Coffee Mug, Desk Organizer, Notebook, USB-C Cable, Bluetooth Speaker, Desk Lamp"
313,"Power Bank, French Press, Pen Set, Coffee Mug, Notebook"
314,"Screen Protector, Phone Case, Wireless Mouse"
315,"Power Bank, Desk Organizer, Notebook, USB-C Cable, Bluetooth Speaker, Desk Lamp"
316,"USB-C Cable, Desk Organizer, Screen Protector, Power Bank"
317,"Pen Set, Coffee Mug, Desk Organizer, Kitchen Scale, Notebook, Desk Lamp"
318,"French Press, Pen Set, Coffee Mug, Desk Organizer, Screen Protector, Notebook, Phone Case, Desk Lamp, Wireless Mouse"
319,"French Press, Screen Protector"
320,"French Press, Coffee Mug, Laptop Stand, Water Bottle, Desk Lamp, Wireless Mouse"
321,"Pen Set, Coffee Mug, Screen Protector, Phone Case, Notebook, USB-C Cable"
322,"Water Bottle, Pen Set, Notebook, Wireless Mouse"
323,"Kitchen Scale, Pen Set, Notebook, Screen Protector"
324,"Power Bank, Cutting Board, French Press, Pen Set, Coffee Mug, Screen Protector, Notebook, Phone Case, USB-C Cable"
325,"Desk Organizer, Bluetooth Speaker, Desk Lamp, Notebook"
326,"Cutting Board, Screen Protector, Phone Case"
327,"Power Bank, Cutting Board, French Press, Coffee Mug, Laptop Stand, Water Bottle, Screen Protector, USB-C Cable, Wireless Mouse"
328,"French Press, Coffee Mug, Laptop Stand, Screen Protector, Phone Case, Notebook, USB-C Cable, Wireless Mouse"
329,"Cutting Board, Laptop Stand, Screen Protector, Phone Case, Wireless Mouse"
330,"Power Bank, Cutting Board, Pen Set, Screen Protector, Phone Case, Notebook, Sticky Notes, USB-C Cable, Wireless Mouse"
