antecedents,consequents,support,confidence,lift
Laptop Stand,Power Bank,0.147,0.35,0.942
Power Bank,Laptop Stand,0.147,0.397,0.942
USB-C Cable,Coffee Mug,0.137,0.349,0.935
Coffee Mug,USB-C Cable,0.137,0.367,0.935
Wireless Mouse,Screen Protector,0.21,0.47,0.932
Screen Protector,Wireless Mouse,0.21,0.416,0.932
Kitchen Scale,Notebook,0.062,0.476,0.929
Desk Lamp,Phone Case,0.145,0.49,0.929
Laptop Stand,French Press,0.127,0.3,0.928
French Press,Laptop Stand,0.127,0.391,0.928
Desk Lamp,USB-C Cable,0.108,0.364,0.927
Phone Case,Wireless Mouse,0.218,0.413,0.927
Wireless Mouse,Phone Case,0.218,0.488,0.927
Screen Protector,USB-C Cable,0.183,0.362,0.924
USB-C Cable,Screen Protector,0.183,0.466,0.924
Desk Lamp,Power Bank,0.102,0.343,0.923
Sticky Notes,Notebook,0.068,0.471,0.92
French Press,Power Bank,0.11,0.34,0.915
Bluetooth Speaker,Phone Case,0.054,0.481,0.914
Screen Protector,Power Bank,0.17,0.337,0.909
Power Bank,Screen Protector,0.17,0.458,0.909
Bluetooth Speaker,Notebook,0.052,0.463,0.903
Desk Organizer,Wireless Mouse,0.116,0.397,0.89
French Press,USB-C Cable,0.11,0.34,0.866
Desk Organizer,Phone Case,0.133,0.454,0.861
Water Bottle,Phone Case,0.054,0.426,0.809
Kitchen Scale,Phone Case,0.054,0.413,0.783
